createdAt,retweetCount,viewCount,id,isReply,text,text_limpio,sentiment
Thu Mar 06 19:27:07 +0000 2025,0,9,1897730683998445877,True,"@sol78480671 1) Hablas como tú mesías @FcoMunoz_TP pero yo tenía otra cuenta pequeña y me la bajaron.
Y mis hermanos de @CyberHuntersOp me donaron esta cuenta.
El número no hace la calidad y yo estoy para grandes ligas.
Y de verdad ustedes son como la 1ra línea que idolatraban a  boric.",hablas mesías cuenta pequeña bajaron hermanos donaron cuenta número hace calidad grandes ligas verdad ustedes ra línea idolatraban boric,Negative
Thu Mar 06 19:26:19 +0000 2025,0,2,1897730482084671921,True,@AbrahamUrnas @latercera Y Boric ! Se hace el wn,boric hace wn,Negative
Thu Mar 06 19:26:11 +0000 2025,4,118,1897730446756397085,False,Boric te vendió barrismo social y ahora resulta que ni se pueden jugar partidos 🤣🫵,boric vendió barrismo social ahora resulta pueden jugar partidos,Negative
Thu Mar 06 19:25:04 +0000 2025,0,1,1897730168510464478,True,"@latercera Con boric quedó claro, un desastre",boric quedó claro desastre,Negative
Thu Mar 06 19:25:02 +0000 2025,0,0,1897730157269426370,True,@elvillegaschile Viejo llorón,viejo llorón,Negative
Thu Mar 06 19:24:37 +0000 2025,0,2,1897730051594191262,True,@ketty2409 @CalderonBassi Boric no me dejó nada.,boric dejó,Negative
Thu Mar 06 19:24:28 +0000 2025,0,5,1897730017527734597,True,"@artes_oficial TTP11 lo promociono la papelucho en toleracia cero y despues dicen los idiotas veganos no binarios que ella no es ""neoliberal"",esta vieja inculiable esta casada con el modelo.Boric es un cerdo que por años dijo que iba a destruir el neoliberalismo y lo termino fortaleciendo.RATAS",ttp promociono papelucho toleracia cero despues dicen idiotas veganos binarios neoliberalesta vieja inculiable casada modeloboric cerdo años dijo iba destruir neoliberalismo termino fortaleciendoratas,Negative
Thu Mar 06 19:24:14 +0000 2025,0,6,1897729957964452250,True,@kurtBarlowBS @Carolina_Toha @Carabdechile Estas volteretas la identifican con Boric y el Puc,volteretas identifican boric puc,Neutral
Thu Mar 06 19:23:23 +0000 2025,1,22,1897729743577047493,False,¡¡ÉPICO!! Axel Kaiser y Milei DESTROZARON a Boric por CORRUPTO y pidiero... https://t.co/UJHYJFeAP5 a través de @YouTube,épico axel kaiser milei destrozaron boric corrupto pidiero través,Negative
Thu Mar 06 19:23:22 +0000 2025,7,90,1897729740049682756,False,"🔴José Antonio Kast en @InfinitaFM: ""si yo hubiese estado en el cargo de Gabriel Boric habría puesto en el  ministerio del interior al general de Carabineros (r), Enrique Bassaletti""

""Se acabaron los comités políticos en la moneda si yo soy presidente, ese comité va a ser DE SEGURIDAD""",josé antonio kast si cargo gabriel boric puesto ministerio interior general carabineros r enrique bassaletti acabaron comités políticos moneda si presidente comité va ser seguridad,Negative
Thu Mar 06 19:21:49 +0000 2025,0,8,1897729350205600139,True,"@EmmaRincon Boric ha impedido que tomemos medidas contra los venezolanos , pero cuando se vaya desataremos toda nuestra ira contra ustedes. La cámara de gas va si o si .",boric impedido tomemos medidas venezolanos vaya desataremos toda ira ustedes cámara gas va si si,Negative
Thu Mar 06 19:21:20 +0000 2025,0,163,1897729228034261429,False,"Jajaja el futbol chileno está muerto, GRACIAS A DIOS se va el gobierno de mierda de Boric el proximo año",jajaja futbol chileno muerto gracias dios va gobierno mierda boric proximo año,Negative
Thu Mar 06 19:21:19 +0000 2025,0,7,1897729222413562082,False,"Longton oficia a Boric por medidas contra jueza Donoso
https://t.co/Za8LejMeQx https://t.co/68AJ9LlZ7a",longton oficia boric medidas jueza donoso,Negative
Thu Mar 06 19:21:09 +0000 2025,0,10,1897729181053489202,False,"Longton oficia a Boric por medidas contra jueza Donoso
https://t.co/IPIm8bSHqq https://t.co/XRztyTfwMx",longton oficia boric medidas jueza donoso,Negative
Thu Mar 06 19:21:03 +0000 2025,0,80,1897729155703144925,False,"Longton oficia a Boric por medidas contra jueza Donoso
https://t.co/rKuVpnUz2f https://t.co/ULOC79r9cS",longton oficia boric medidas jueza donoso,Negative
Thu Mar 06 19:20:56 +0000 2025,0,118,1897729128473796944,False,"para las que no son discapacitadas y que para saltar en el plátano hasta corren y que les pesa la 🍑 subir escaleras. Flojos Parisi ""Partido Nacional Libertario"" Monsalve Mantequilla Vistima Neme Toha Cariola Baquedano Elizalde Moreira ""Gabriela Mistral"" Carabineros Boric",discapacitadas saltar plátano corren pesa subir escaleras flojos parisi partido nacional libertario monsalve mantequilla vistima neme toha cariola baquedano elizalde moreira gabriela mistral carabineros boric,Negative
Thu Mar 06 19:20:54 +0000 2025,0,10,1897729116050538837,True,@biobio Boric lleva 1 mes hablando de trump jsjajsjs,boric lleva mes hablando trump jsjajsjs,Neutral
Thu Mar 06 19:20:44 +0000 2025,0,3,1897729075466453481,True,"@SebastianRochaZ @KarolCariola El diputado boric tambien debe tener algo que decir, lo apostaria... https://t.co/E0zXyEC38m",diputado boric tambien debe tener decir apostaria,Neutral
Thu Mar 06 19:20:40 +0000 2025,0,1,1897729058013614109,True,"@GobiernodeChile Con la elección de Boric como presidente, Chile cayó en desgracia. Es una desdicha e infortunio. Esta lamentable situación, solo se podrá reparar con un futuro gobierno en la cual sea derrotada la ideología del mal que representa la izquierda. Necesitamos recuperar a Chile.",elección boric presidente chile cayó desgracia desdicha infortunio lamentable situación solo podrá reparar futuro gobierno derrotada ideología mal representa izquierda necesitamos recuperar chile,Negative
Thu Mar 06 19:20:17 +0000 2025,0,28,1897728961716928825,True,"@biobio Exactamente, pero Boric es bien weoncito, es capaz de ir a cruzarse al camión a ver si lo para 🤣",exactamente boric bien weoncito capaz ir cruzarse camión ver si,Neutral
Thu Mar 06 19:20:00 +0000 2025,0,20,1897728890820608477,False,Boric llama a Sheinbaum para «fortalecer la cooperación» en medio de guerra comercial https://t.co/jFCoUUUD6u #Mundo,boric llama sheinbaum fortalecer cooperación medio guerra comercial mundo,Neutral
Thu Mar 06 19:19:20 +0000 2025,0,3,1897728725837386044,True,@adnradiochile Toda persona que comete un  delito esta sujeta a pasar por esta situacion no generalise le  paso por querer sacar probecho de su cargo simple como dice boric nadie sobre la ley,toda persona comete delito sujeta pasar situacion generalise paso querer sacar probecho cargo simple dice boric nadie ley,Negative
Thu Mar 06 19:19:16 +0000 2025,0,5,1897728705620746483,True,@ommm5555 Y que significará el “Boric”…….,significará boric,Neutral
Thu Mar 06 19:19:16 +0000 2025,0,5,1897728705306427559,True,@T13 Seguirán webiando por algo que NO OCURRIÓ,seguirán webiando ocurrió,Negative
Thu Mar 06 19:18:56 +0000 2025,0,11,1897728623613776359,True,"@IanVildoso @biobio No importa Boric. El problema no viene de afuera , siempre, pero siempre es 1.
.. está difícil desde donde te paras.",importa boric problema viene afuera siempre siempre difícil paras,Negative
Thu Mar 06 19:18:12 +0000 2025,1,652,1897728437454094421,False,"A tus amigos le dejas tener las tendencias políticas que quieran, vean Milei y a Trump o a Lula y Boric.  Eso de discutir por políticos se lo dejan al pueblo, aquí arriba hay más besos y abrazos     
Si ven porque no tienen que andar desviviendo por políticos?  🐺 https://t.co/I8ovMjO91w",amigos dejas tener tendencias políticas quieran vean milei trump lula boric discutir políticos dejan pueblo aquí arriba besos abrazos si ven andar desviviendo políticos,Neutral
Thu Mar 06 19:17:15 +0000 2025,0,1,1897728201142456391,True,@LMLF33 @canaldemati_ @Gonzalo68737901 La inteligencia te persigue pero tú eres más rápida,inteligencia persigue rápida,Neutral
Thu Mar 06 19:16:51 +0000 2025,0,19,1897728100571451402,True,@biobio Que Boric cierre el hocico pasemos piola mejor,boric cierre hocico pasemos piola mejor,Neutral
Thu Mar 06 19:16:26 +0000 2025,0,35,1897727994577174938,False,Boric es de los que piensa que Salvador Allende iba provocando,boric piensa salvador allende iba provocando,Negative
Thu Mar 06 19:16:05 +0000 2025,0,2,1897727907738378570,True,@leoromero2024 Y somos 20millones..... Jajajaja.... Mira la cantidad de militantes qué tiene el Partido Comunista..... Jajajaja que bueno el chiste...... Toha Presidenta 2026 y Boric 2030,millones jajajaja mira cantidad militantes partido comunista jajajaja bueno chiste toha presidenta boric,Neutral
Thu Mar 06 19:16:04 +0000 2025,0,11,1897727903640829970,True,"@PabloAguayoW Yo no sé si la izquierda quiere jugar al salto alto o al limbo. Lo uno que tengo claro es que Guillier y Boric dejaron la vara muy baja, y a Tohá le perdonan su pésima gestión, no solo como ministra de interior, sino que también como alcaldesa de Santiago.",sé si izquierda quiere jugar salto alto limbo claro guillier boric dejaron vara baja tohá perdonan pésima gestión solo ministra interior sino alcaldesa santiago,Negative
Thu Mar 06 19:16:03 +0000 2025,0,2,1897727899102241265,True,"@DamianDumah @charitin111 @Santiaguina3 @astorgapa @etiopon Puedo entender que para algunos la opción sea Kast, pero me cuesta entender lo de Kaiser.
El JAMÓN SERRANO es un INCOMPETENTE, IGNORANTE, MISÓGINO!
ES EL BORIC DE LA DERECHA!
No quiero otro Boric, quiero un gobierno medianamente decente",puedo entender opción kast cuesta entender kaiser jamón serrano incompetente ignorante misógino boric derecha quiero boric quiero gobierno medianamente decente,Negative
Thu Mar 06 19:15:49 +0000 2025,0,0,1897727840679817314,False,La gente será han tonta de votar por la Tohá? Así como votaron por Boric? 🥲 leo algunas personas diciendo el mal menor.. osea en serio??? 🫠🫠🫠🫠,gente tonta votar tohá así votaron boric leo personas diciendo mal menor osea serio,Negative
Thu Mar 06 19:15:47 +0000 2025,0,1,1897727828952858639,True,"@GobiernodeChile Como bota la plata este CSM,, Compatriotas, boric necesita plata y como no puede endeudarse mas en el extranjero, le cobrara impuestos a las CASAS, incluyendo las que estaban exentas, para darse sus gustitos
A quien en la vida diaria le SIRVE un sitio de memoria?",bota plata csm compatriotas boric necesita plata puede endeudarse mas extranjero cobrara impuestos casas incluyendo exentas darse gustitos vida diaria sirve sitio memoria,Negative
Thu Mar 06 19:15:38 +0000 2025,0,6,1897727794643132574,True,"@aprachile 16 años de vago en el congreso y más de 10 años como candidato, CUANDO TRABAJA?",años vago congreso años candidato trabaja,Negative
Thu Mar 06 19:15:29 +0000 2025,0,2,1897727753706729877,True,"@JoviNomas Mientras no salga como el Boric culiao, todo bien. Ese wn prometió muchas weás, pero al final terminó chupándole el pico a Piñera, respaldando a los pacos, y ayudando a las AFP",mientras salga boric culiao bien wn prometió muchas weás final terminó chupándole pico piñera respaldando pacos ayudando afp,Negative
Thu Mar 06 19:15:20 +0000 2025,1,274,1897727717602185254,False,"Psicólogo: ""El Boric-Neme no existe""

El Boric-Neme: https://t.co/rlf1hR5kma",psicólogo boricneme existe boricneme,Neutral
Thu Mar 06 19:14:53 +0000 2025,0,3,1897727605106720968,True,@Jorel369 Pero no se enoje.. relax,enoje relax,Neutral
Thu Mar 06 19:14:33 +0000 2025,0,1,1897727519689740737,True,"@latercera Exacto, eso es lo que la gente no entendió al votar por Boric!
No da lo mismo!",exacto gente entendió votar boric da mismo,Negative
Thu Mar 06 19:13:21 +0000 2025,0,2,1897727216647389663,True,@mathiusandre1 @biobio Te refieres al sector de Boric? 😂,refieres sector boric,Neutral
Thu Mar 06 19:13:15 +0000 2025,0,3,1897727193415139715,True,"@Incorru47125032 Siiiii..hay que tener mucho cuidado x quien votar , porque si de nuevo vuelven a cometer la misma estupidez de votar por un loco,inepto,narco,drogo, ladrón llamado “Gabriel  Boric ahí sí que nos vamos de una, a la misma mierda!!💩",siiiiihay tener cuidado x votar si nuevo vuelven cometer misma estupidez votar locoineptonarcodrogo ladrón llamado gabriel boric ahí vamos misma mierda,Negative
Thu Mar 06 19:13:15 +0000 2025,0,2,1897727192215560490,True,@deluzissor Cómo cuando revisionista copea por haber votado por boric kek,cómo revisionista copea haber votado boric kek,Negative
Thu Mar 06 19:12:58 +0000 2025,0,27,1897727123567313101,False,"Este es un país concertacionista progre, está bien, no quieren un gobierno real de izquierda, está bien… Pero no vengan a decir que Tohá o Boric son de izquierda y que esa gente frena a la derecha, y más encima se autodenominan de izquierda, no se les puede tomar enserio wn🤣",país concertacionista progre bien quieren gobierno real izquierda bien vengan decir tohá boric izquierda gente frena derecha encima autodenominan izquierda puede tomar enserio wn,Negative
Thu Mar 06 19:12:36 +0000 2025,0,25,1897727031267541462,False,"LA VERDADERA RAZÓN POR LA QUE EL DESGOBIERNO DE BORIC   (Comunismo y Frente Amplio)...NO QUIEREN APROBAR EL USO DE LAS PISTOLAS TASER....ESTÁN PREPARANDO LA CALLE NUEVAMENTE!!

#toha #baquedano #Elizalde #ñuñoa #taser https://t.co/Csv9HkwCRI",verdadera razón desgobierno boric comunismo frente ampliono quieren aprobar uso pistolas taserestán preparando calle nuevamente toha baquedano elizalde ñuñoa taser,Negative
Thu Mar 06 19:11:45 +0000 2025,0,17,1897726815570977268,False,"Colombia con Petro narcotraficante confesado por su hijo,México de López Obrador también protector de los narcos en su país con Sheinbaum, Uruguay con su presidente madurista,Chile con Boric comunista y Brasil con su presidente ex convicto son los que expresaron su rechazo 🤌🤌",colombia petro narcotraficante confesado hijoméxico lópez obrador protector narcos país sheinbaum uruguay presidente maduristachile boric comunista brasil presidente ex convicto expresaron rechazo,Negative
Thu Mar 06 19:11:21 +0000 2025,0,0,1897726715465535893,True,@meganoticiascl votante de Boric,votante boric,Neutral
Thu Mar 06 19:11:16 +0000 2025,2,92,1897726692942397776,False,Boric debería ofrecerle una embajada en Kazajstán a este wea para mantenerlo lejos hasta que saquemos nuevo presidente,boric debería ofrecerle embajada kazajstán wea mantenerlo lejos saquemos nuevo presidente,Negative
Thu Mar 06 19:11:06 +0000 2025,0,15,1897726652869988470,False,"Boric: ""Está LA RAJA mi pais"" (usa los anteojos rechuchatmre) #contigoendirectochv https://t.co/A0UVsHSRIL",boric raja pais usa anteojos rechuchatmre contigoendirectochv,Negative
Thu Mar 06 19:10:48 +0000 2025,0,15,1897726577464820008,True,@aleinadnat Yo creo q es hora de que le pidas la pension a tu papa en vez de dar dabdo la cacha mostrando los daddy issues con un presidente ql penca como boric,creo q hora pidas pension papa vez dar dabdo cacha mostrando daddy issues presidente ql penca boric,Negative
Thu Mar 06 19:10:47 +0000 2025,0,7,1897726570305114507,False,"Mi historial en presidenciales:
2013 1a roxana miranda 2a no fui
2017 1a y 2a guillier
2021 1a artes 2a boric.

Toda convicción ideologica esta guiadas por una fuerte conviccion democratica y si es necesario recorrer el umbral entre artes y toha, se realiza sin ningun atado.",historial presidenciales roxana miranda guillier artes boric toda convicción ideologica guiadas fuerte conviccion democratica si necesario recorrer umbral artes toha realiza ningun atado,Neutral
Thu Mar 06 19:10:13 +0000 2025,0,40,1897726428738654404,True,"@barneys1ns0n Varias:

Boric matoneando a su jefa de prensa post caso Monsalve.
Izkia en Temucuicui y el discurso fallido del wallmapu
Indultos
Caso Convenios
Corfo
La quintrala colorada haciendo marchas para apoyar a Boric con solo mil pelagatos de convocatoria 😂",varias boric matoneando jefa prensa post caso monsalve izkia temucuicui discurso fallido wallmapu indultos caso convenios corfo quintrala colorada haciendo marchas apoyar boric solo mil pelagatos convocatoria,Negative
Thu Mar 06 19:09:31 +0000 2025,0,1,1897726253794574849,True,"@Informa3Chile Ese es el 33% de aprobación de Boric? Si es asi, ese es su techo.",aprobación boric si asi techo,Neutral
Thu Mar 06 19:09:06 +0000 2025,0,4,1897726146608861548,True,"@miguellittin Los jóvenes incautos se compran cualquier ""pescado"", ya pasó con Boric y ha defraudado a muchos. Menos a los fanáticos del 30%...",jóvenes incautos compran cualquier pescado pasó boric defraudado menos fanáticos,Negative
Thu Mar 06 19:08:48 +0000 2025,0,2,1897726072780718374,True,"@Claudia84547564 @cristiandalyd @Jou_Kaiser @evelynmatthei @Partido_NL Los mismos seguidores de Boric del 20%, votan por quien les dicen, no evalúan ni piensan",mismos seguidores boric votan dicen evalúan piensan,Negative
Thu Mar 06 19:08:42 +0000 2025,1,20,1897726046948196646,False,"#Bachelet. 
Recuerden en noviembre q #Boric es el continuador y q #Tohá es la continuadora. 
Todo empieza y termina con #Allende.",bachelet recuerden noviembre q boric continuador q tohá continuadora empieza termina allende,Neutral
Thu Mar 06 19:08:34 +0000 2025,0,9,1897726012231672167,True,"@nortino91 @AlecitaFloresG @biobio @Carabdechile Aquí se cumplen todas las condiciones para escribir “p’ta el wn wn, wn…”",aquí cumplen todas condiciones escribir pta wn wn wn,Negative
Thu Mar 06 19:07:59 +0000 2025,0,8,1897725866005631151,True,"@ivanmoreirab @alvaroelizalde A monzalve se le acusó de violador y todos quisieron taparlo Boric y Toha candidata a presidente🤦🏻‍♂️. Y el resultado es que si, abuso y violo a su trabajadora. Así que si el rio suena es porque merca trae Iván 🕵🏻‍♂️",monzalve acusó violador quisieron taparlo boric toha candidata presidente resultado si abuso violo trabajadora así si rio suena merca trae iván,Negative
Thu Mar 06 19:07:47 +0000 2025,0,10,1897725819151097883,True,"@Stilgar_Auda Al PC no lo dejarían gobernar. El boicot sería aún peor que a Boric, y usarían las FFAA otra vez. No seamos ilusos",pc dejarían gobernar boicot aún peor boric usarían ffaa vez ilusos,Negative
Thu Mar 06 19:07:35 +0000 2025,0,0,1897725765288182254,True,"@DRESTRUM__Pl jajaja por favor manden a este weta de presidente! Si boric es weon, este ya es el rey",jajaja favor manden weta presidente si boric weon rey,Neutral
Thu Mar 06 19:07:04 +0000 2025,0,2,1897725636694753599,True,"@GradeGeorge @Clabbem @udipopular Cómo las weas lo está haciendo el payaso traidor, ahora pide unidad el scw después que ayudó a levantar los números del comunismo y defender a su jefe boric",cómo weas haciendo payaso traidor ahora pide unidad scw después ayudó levantar números comunismo defender jefe boric,Negative
Thu Mar 06 19:06:53 +0000 2025,0,6,1897725588741275786,True,@manuelsoteldo4 El perkinazo maricón Boric no haya que responder . Simplemente el periodista lo hizo cagar... por fin alguien que se atreva a decirle las verdades a la cara al perkin merluzo,perkinazo maricón boric responder simplemente periodista hizo cagar fin alguien atreva decirle verdades cara perkin merluzo,Negative
Thu Mar 06 19:06:41 +0000 2025,2,211,1897725541152682121,True,"🇨🇱 Con esta importantísima medida anunciada por el Presidente Boric y la ministra Javiera Toro, avanzamos en el establecimiento del cuidado como el cuarto pilar de la protección social, junto a salud y educación, ¡además de las pensiones! 👏 https://t.co/g4mqjYOu5d",importantísima medida anunciada presidente boric ministra javiera toro avanzamos establecimiento cuidado cuarto pilar protección social junto salud educación además pensiones,Positive
Thu Mar 06 19:06:13 +0000 2025,0,5,1897725421476515879,True,"@BenavidesMunoz @TERE_LAprofe73 Es la promesa que hacen todos Bachelet, Piñera y Boric, cual de los tres a hecho más por el. Pais?",promesa hacen bachelet piñera boric tres hecho pais,Neutral
Thu Mar 06 19:05:46 +0000 2025,0,12,1897725311284134167,False,El marxista qe habla como facho ajajajaja son de manual estos mongolos pro boric,marxista qe habla facho ajajajaja manual mongolos pro boric,Negative
Thu Mar 06 19:05:33 +0000 2025,0,8,1897725256116117802,False,MATTHEI USA LOS CALZONES ABAJO…Y BORIC SE LA AFILA CUANDO QUIERE,matthei usa calzones abajoy boric afila quiere,Neutral
Thu Mar 06 19:04:34 +0000 2025,0,4,1897725005753987202,True,@thecliniccl Ahora arrancan como 🐀. Nadie quiere retomar el país que dejará el incapaz de Boric.  Harían el ridículo.,ahora arrancan nadie quiere retomar país dejará incapaz boric harían ridículo,Negative
Thu Mar 06 19:04:04 +0000 2025,0,1,1897724883439689746,True,"@ElizabethValcab @DignidadFabiola @JoviNomas Aun no proponen una estatua Boric, no se adelante.",aun proponen estatua boric adelante,Neutral
Thu Mar 06 19:03:15 +0000 2025,0,10,1897724674412306637,False,la gente se olvida que se votó a boric para que no salga jadue y luego se votó nuevamente para que no salga kast,gente olvida votó boric salga jadue luego votó nuevamente salga kast,Negative
Thu Mar 06 19:03:03 +0000 2025,0,10,1897724624021909939,True,"@BloqueAntifa @1000xJadue @DanielJadueJ @DanPuro_Cringe @carmen_hertz @anjulitostes Tarde, su actitud ""sumisa"" ante las leyes aberrantes de Boric, que dijo? que hizo? Nada! Si gana sería la continuación de Boric y Piñera. Ya fué!",tarde actitud sumisa leyes aberrantes boric dijo hizo si gana continuación boric piñera fué,Negative
Thu Mar 06 19:02:24 +0000 2025,0,20,1897724461178110361,True,"@thecliniccl Vote por Boric y soy de izquierda (para q luego no digan weas). He reflexionado e intentado defender a estos wns, pero el Frente Amplio ha sido una gran decepción! Caga tras caga jugando a la política, apitutados sin experiencias y principios qls sin sustento real.",vote boric izquierda q luego digan weas reflexionado intentado defender wns frente amplio sido gran decepción caga tras caga jugando política apitutados experiencias principios qls sustento real,Negative
Thu Mar 06 19:02:22 +0000 2025,0,54,1897724455163773174,False,"📍Boric en modo electoral: Enfatiza que “no da lo mismo quien gobierna” en lanzamiento de política nacional de cuidados. “Algunos están preocupados de hablar de recortes, nosotros estamos preocupados de tener más gasto social”, remarcó @DFinanciero 
https://t.co/iyox5Qbj8a",boric modo electoral enfatiza da mismo gobierna lanzamiento política nacional cuidados preocupados hablar recortes preocupados tener gasto social remarcó,Negative
Thu Mar 06 19:02:10 +0000 2025,0,1,1897724405704171799,True,"@Kasterizador Boric salió presidente gracias a q el weas de KKKast quedó como la alternativa y la gente no es tonta y sabe q hasta el momento se seguirá votando por el menos malo y si de nuevo el weas de kkkast queda en la final, ganará el que esté como oponente, ya q cualquiera es menos malo.",boric salió presidente gracias q weas kkkast quedó alternativa gente tonta sabe q momento seguirá votando menos malo si nuevo weas kkkast queda final ganará oponente q cualquiera menos malo,Neutral
Thu Mar 06 19:01:07 +0000 2025,0,790,1897724138577424727,False,"💬 Boric en modo electoral: enfatiza que “no da lo mismo quien gobierna” en lanzamiento de política nacional de cuidados
https://t.co/an1AzyuM1B",boric modo electoral enfatiza da mismo gobierna lanzamiento política nacional cuidados,Neutral
Thu Mar 06 19:00:49 +0000 2025,0,0,1897724063344120230,False,"Boric en modo electoral: enfatiza que “no da lo mismo quien gobierna” en lanzamiento de política nacional de cuidados

Detalles aquí 👇🏻
https://t.co/0oxospaeH2",boric modo electoral enfatiza da mismo gobierna lanzamiento política nacional cuidados detalles aquí,Neutral
Thu Mar 06 19:00:07 +0000 2025,1,14,1897723889633181985,True,"@TLAntofagasta Debieron convocar cuando Boric se quedó callado 36 hrs. por el caso Monsalve 🤣
Son de cartón...!!!",debieron convocar boric quedó callado hrs caso monsalve cartón,Negative
Thu Mar 06 18:59:14 +0000 2025,0,1,1897723665094963540,True,"@ladamita_txt Y si hubiera hablado a favor de Boric, estarías tan “harta”??",si hablado favor boric tan harta,Negative
Thu Mar 06 18:58:58 +0000 2025,0,13,1897723597302780193,True,"@veroki1827 @GrafgrafG18667 @biobio No puedes fotografiar, difundir  y viralizar a través de redes sociales a dos jóvenes sin saber sin son culpables, y aunque lo fueran se deben ajustar a los protocolos. Son Carabineros no influencer. Y lo de Boric es algo totalmente distinto, no viene al caso.",puedes fotografiar difundir viralizar través redes sociales dos jóvenes saber culpables aunque deben ajustar protocolos carabineros influencer boric totalmente distinto viene caso,Negative
Thu Mar 06 18:57:29 +0000 2025,0,2,1897723225515098187,True,@ChileMercenario Cállate votante de Boric.,cállate votante boric,Negative
Thu Mar 06 18:57:10 +0000 2025,0,20,1897723146007871859,True,"@Andisblu1972 @Roja53C @huenulef_s Aunque  tu escrito es tan vulgar, te contesto: Karol Cariola y su guagua nos importa a millones de personas, tantas como votaron por nuestro Presidente Boric, más otras miles que bien nacidas que respetan al ser humano.",aunque escrito tan vulgar contesto karol cariola guagua importa millones personas tantas votaron presidente boric miles bien nacidas respetan ser humano,Negative
Thu Mar 06 18:56:03 +0000 2025,0,20,1897722862816866784,True,"@RobertoMerken y este ql llega  y nos amenaza; ándate a la mismísima punta del cerro, que tus cariola y boric van a seguir con millones al mes, más los otorgados a los pensionados de por vida de la primera línea. De un inválido que recibe la PGU",ql llega amenaza ándate mismísima punta cerro cariola boric van seguir millones mes otorgados pensionados vida primera línea inválido recibe pgu,Negative
Thu Mar 06 18:55:54 +0000 2025,0,8,1897722827006259310,True,@miguelcgangel Que no Boric era comunista?,boric comunista,Negative
Thu Mar 06 18:55:39 +0000 2025,0,143,1897722764032872485,True,"@Yo_klaudiusz Faltó un pequeño dato, Milei recibe un país arruinado por años por el kirschnerismo y Boric recibe un país económicamente estable.",faltó pequeño dato milei recibe país arruinado años kirschnerismo boric recibe país económicamente estable,Negative
Thu Mar 06 18:54:40 +0000 2025,0,2,1897722514580631768,True,@Martinezxstgo @ColegioProfes @desbordes Y no les pagarán la deuda o ustedes creee que Boric está preocupados de lis prife,pagarán deuda ustedes creee boric preocupados lis prife,Negative
Thu Mar 06 18:54:21 +0000 2025,0,105,1897722437703221373,True,@PiensaPrensa Eso es lo que le gusta a boric reprimir y matar estudiantes,gusta boric reprimir matar estudiantes,Negative
Thu Mar 06 18:54:17 +0000 2025,0,9,1897722417893851616,True,"@veroki1827 @Soy_Tu_Aji Carabineros, pdi y ffaa están felices con su gestión",carabineros pdi ffaa felices gestión,Positive
